"Training Session","Í×áæÇÕàæÉÚæÏãç"
"Squads should be assigned to a barracks.  The squad can be set to train, sleep, and store equipment there.","ÍÕŞåÄÖİæÍ×ÕŞæÀİæÃáÁİæÄŞæÕÈÚæË×áÕãç.ÍÕŞåÄÖİæÉÚåÕåĞÚæÎæÖİçÒÜæÆØæÇÕåÍ×áæÇÕàæ,ĞÖİæË×ÛçÊÚçÓÖáçÃâæÎÖâÀİæ."
"Your archers can train in this zone if there is an archery target included.","ÑÖçÈÖÙåÓåÏÖåÕßåÀØåÒå,ÒÚçÆÕáçÄÚèÈÖãËÕàæĞßåÉÚåÒÜæÓåÍ×áæÇÕàæ"
"Open the squad sidebar.","ÄØåÉÜÍÕŞåÄÖİæÓÚæÀÕàÇàç."
"Sort by value.","àæËÕØæÎçÁÜçÍ×æ."
"This work order is active.","ÓåÈÖãÒÖÙæÄÕãæÄàÕåËÕÊÖÙç."
"Remove this route.","ÕçÏÖçÎÚæÅÕŞçÇÖæÍÕàæ."
"The assigned vehicle is moving toward this stop.","ÎåÄÕãæÄÚèÏÚÇÕâæÎãæÒÜæÍÕâæÎÚæÈÚæÎàæÄÕàåÕçÄÖãæ."
"The assigned vehicle is at this stop.","ÎåÄÕãæÄÚèÏÚÇÕâæÒÜæÎÚæÈÚæÎàæÄÕàå."
"Remove this stop.","ÕçÏÖçÎÚæÈÚæÎàæ."
"Name this stop.","ÈİåÎÚæÈÚæÎàæÂÕãæÂÕãç."
"Open the place information menu.","ÄØåÉÜÄÕæÄÕàåÍÕáæÍÕÓÜæÄà."
"Open the task information menu.","ÄØåÉÜÑáæÖæÍÕáæÍÕÓÜæÄà."
"Open the citizen information menu.","ÄØåÉÜĞæÂÕáçÍÕáæÍÕÌÕãÄà."
"Open the objects menu.","ÄØåÉÜÖæÁÕáåÓÜæÄà."
"Open the nobles and administrators menu.","ÄØåÉÜÈÖİæÒÖçÊÚçÈÖàåÇÕå×àçÓÜæÄà."
"Open the work orders menu.","ÄØåÉÜÈÖãÒÖÙæÎåÇÕãçÓÜæÄà."
"Open the labor menu.","ÄØåÉÜÈÖãÒÖÙæÌÕãÄà."
"Remove this condition.","ĞàÏÖçÓåÅÕŞçËÕàæ."
"Suspend this task.  This removes the worker.  The task can be unsuspended.","ÒàæÅÕãçÓåÑáæÖæ.ÎÚæËÕâÕçÏÖçÈÖãÑáç.ÉÚåÕåÌ×åÍÕŞÒàæÅÕãçÑáæÖæ."
"This worker is not specialized and will do any free tasks that become available.  Click to toggle.","ÎÚæÈÚæÈÖãÑáçÖçÎÖàÎçÈÖãÒÖÙæ,ÉÚåÕåÒÖÙæÑáæÊÚçÒæÕßçÑáæÖæ.ÄàËÕÌÕÛÊÖàæ."
"This worker is specialized and will only do tasks that match their workshop assignments, work details, and occupations.  Click to toggle.","ÎÚæĞæÈÚæÎÖàÎçÈÖãÑáç,ÎÊÖİæÒÖÙæ×åÏÚËÕàÃáÁİæ,ÈÖãÒÖÙæÍÕæËÕÛçÊÚçÎçÕÛæÍÕâÁÕåÁİæÄÚèÑáæÖæ.ÄàËÕÉÚåÌÕÛÊÖàæ."
"Recenter on this creature.","ÎÖãæÄÕãæÖİæÎæÎÚæÈÚæĞãÖæ."
"Remove this building.","ÕçÏÖçËÕàæÎÖæ."
"Name this building.","ÂÕãæÂÕãçËÕàæÎÖæ."
"Recenter on this item.","ÎÖãæÄÕãæÖİæÎæÎÚæÈÚæÖæÁÕáå."
"This task is highest priority among all tasks everywhere.","ÎÚæÈÚæÑáæÖæĞæÔÖÙåÕßåÑáæÖæÎÖãÕßÍÕàËÕçÒÖİæÈŞÄÚè."
"Click to set this task to repeat indefinitely.","ÄàËÕÉÚåËÕâÓåÑáæÖæĞÚæÎæÖİçÖçÍÕàæÎÖãæÃÖæ."
"Remove this worker from this occupation.","ËÕâÈÜÈÖãÑáçÓÖãçÈÜÎçÕÛæÎÖãÕçÏÖç."
"This item is a symbol of a noble or administrator.","ÎÚæËÕàæÖæÁÕáåĞæÈÖİæÒÖçÊÖÙæÈÖàåÇÕå×àçÄÚèÍÕâæÎã."
"This item is part of the assigned squad equipment.","ÎÚæËÕàæÖæÁÕáåĞæÕåÃáÁİæÍÕŞåÄÖİæÎÖâÀİæÄÚèÕÀÖæÃá"
"Customize the squad's name.","ÒæÄÕãæÕæÍÕŞåÄÖİæÂÕãçÏã."
"View the positions in this squad.","ÏØçÉàæÈÜÍÕŞåÄÖİæÖİæÎæ."
"Recenter on the announcement's location.","ÎÖãæÍÕáÄÕãæÖİæÒÜæÈÖãÈŞæÄÚèÖİæÎæ."
"Inspect the route.","ËÕàåÏØçÇÖæÍÕàæ."
"Disband the squad.","ËÕÛåÔàæÍÕŞåÄÖİæ."
"Create a new work order for this workshop.  Work orders are tasks that can repeat specified numbers of times and which can be given start conditions.  This is useful for automation.","ÖİçÎÚæÈÚæÈÖãÃâÏÖâæËÕàæÕÈÚæÍÕáÈÖãÄà,ÈÖãÄàĞæÉÚåÕåÎÖãæÃÖæÎåÄÕãæÓæĞÖæÄÚèÑáæÖæ,ÀÕãæÌÕÛåÉÚåÕåÈİåÄÕãæÌÕåÄÖãæÅÕŞçËÕàæ.ÎÚæÄÖİæÒæÄÖãæÊÖØæÊáåÕßå×ãæ."
"This item is bait.","ÎÚæÈÚæÖæÁÕáåĞæÕßæäå."
"This is a small creature within the trap.","ÎÚæĞæÕÈÚæÍÕàæËÕãåÎÖãÄÚèÍÕŞåĞãÖæ."
"This item is being traded.","ÎÚæÈÚæÖæÁÕáåÎãæÒÜæÀİæËÕŞÕæ"
"This item is resting within the building.","ÎÚæÈÚæÖæÁÕáåËÕàæÎÖæÆİæÍÕßÍÕ."
"This item has been loaded.","ÎÚæÈÚæÖæÁÕáåÕåËÕØÒÜæ."
"Cancel this scheduled order.","Ì×åÍÕŞÓå×æÄÕãæÎåÇÕãç."
"The soldiers can either keep their equipment on at all times, or only when an order is active.","ËÕâĞæÂáçÉÚåÕåÕÎçÔÖİçĞáÍÕÛçÄÜæÎÖÙçÅØÂáçÄÚèÎÖâÀİæ,ÊÖÙæÎÚåÎÒÜæÀİæÎãÎŞæĞçÓÜçÄÜæĞâæÅØÂáçÄÚèÎÖâÀİæ"
"The creature is chained.","ÎÚæÈÚæĞãÖæÀİæÔÖÙåÎÖæÇÕŞå"
"The selected stockpile will give items to here.","Í×àåÄÕãæÄÚèÉÖæÓÖáçËÕâÍÕâæÓåÏÖåÅÕçÈÖãÖæÁÕáå."
"The creature is assigned to a pasture.","ÈÜĞãÖæÀİæÃáÁİæÄŞæÕÈÚæÂÖæÏâç."
"The creature is set to be caged.","ÈÜĞãÖæÀİæĞÚæÎæÖİçÈÖàÒÜæÇÖãçÒåÇÕå."
"The creature is set to be chained.","ÎÚæÈÚæĞãÖæËÕâÀİæÔÖÙåÎÖæ"
"The creature is caged.","ĞãÖæÀİæÇÖãçÒåÈÖàÎÖæ."
"The creature is assigned to a pit.","ÈÜĞãÖæÀİæÃáÁİæÄŞæÕÈÚæÉã."
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","Í×àåÒÚçÕÈÚæÏÖåÖæÄÖİ,ÈÖİåÄŞæÎàæÄÚèÏÚÇÕâæËÕâ×åÈÜÓâÉÖæËÕŞÊÖàæÖæÁÕáå.ÏÚÇÕâæËÕâÌ×åÒßåÔÖÙåÍ×ÖæÁÕáå,ÀÕãæÍÕÛæÍÕØæÑáæÊÚçÌÕçÅØÖæÁÕáå."
"Choose a stockpile from which the track stop's vehicle will take items.","Í×àåÒÚçÕÈÚæÏÖåÖæÄÖİ,ÈÖİåÄŞæÎàæÄÚèÏÚÇÕâæÓÖãçÆØæÇÕåÊÖÙæÌ×åÖæÁÕáå."
"Choose a stockpile to which the track stop's vehicle will give items.","Í×àåÒÚçÕÈÚæÏÖåÖæÄÖİ,ÈÖİåÄŞæÎàæÄÚèÏÚÇÕâæËÕâÊÖİæÅÕçÈÖãÖæÁÕáå."
"Toggle whether the squad will store squad-level equipment here, such as ammunition.","ÌÕÛÊÖàæÍÕŞåÄÖİæĞæÃßåÊÖİæÒÜæÎÚæÇÕåÓÖáçÃâæÍÕŞåÄÖİæËÕçÀÕÛçÄÚèÎÖâÀİæ,ÇÕæÑÖçÄàæÕŞæ."
"Choose a stockpile from which the selected stockpile will take items.","Í×àåÒÚçÕÈÚæÏÖåÖæÄÖİ,ÔÖÙåÍ×àåÄÚèÏÖåÖæÄÖİËÕâÓÖãçÎÖãÊÖÙæÌ×åÖæÁÕáå."
"Forge weapons and armor here, as well as most other metal objects from furniture to trap components.  Magma below the forge will power tasks.  You are responsible for placing the forge above the magma, but no other fuel is required.","ÒÜæÎÚæÇÕåÄÖàæÒŞæÖåÌÕæÊÚçÉÖİËÕØå,ÕåËÕçËÕØË×æÊÚçÍÕàæËÕãåÒÖåËÕàæÄÚèÄØæÄÖÙĞÖæÌÕçÅØËÕáĞÖåÖæÁÕáå.ÑÖãçÇÖçÍÕØæÃâÄÚèÕàçËÕâËÕâÈİåÈÖãÒÖÙæÅÕçÈÖãÄÖãæÇÕæ.ÆÕåÃÖæÒÚçËÕâÑÖãçÇÖçÃâæÎæÒÜæÕàçËÕâĞâæÃâ,ÄàæÀÖæÍ×ÕŞæÑáæÊÚçÑàçÇÕŞæ."
"Cut rough gems here to increase their value, and improve the value of other objects by encrusting them with cut gems.","ÒÜæÎÚæÇÕåÌÕÛÈÚÓÖÓŞÄÚèÀŞåĞçÕåÅÕçÈŞÌÕçËÕØæÎç,ÀÕãæÉÚåÕåÅÖãÈÖÙæÍÕâÌÕàæÌÕÛÈÚÀŞåĞçÕåÅÕçÈŞÌÕçÅØÖæÁÕáåÄÚèËÕØæÎç."
"Make beds and various furniture here, as well as bins, barrels, and more.","ÒÜæÎÚæÇÕåÎæÒÖÙæÏÖâçÁÖÊÚçÈÚæÎÖãåËÕØË×æ,ÕåËÕçÇØËÕÅÖãå,×àçÅÖãåÄãå."
"Make stone furniture here, as well as blocks which are used in constructions.","ÒÜæÎÚæÇÕåÎæÒÖÙæĞçÎæËÕØË×æ,ÕåËÕç×ãæ×çËÕàæÎÖæÄÚèÎÖàÉÖÜæ."
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","ÒÜæÎÚæÇÕåÆÕåÉÚåÕåÎæÒŞæÆÖåÁŞçÊÚçÄàæĞÚæÌÕæÄÚèÇÕãçËÕàæ,ÎÚæÈÚæÈÖãÃâÕÛåĞæÒÖåÎÖâÆÖåÁŞçÄàæÕŞæÄÚèÏÚËÕà."
"Forge weapons and armor here, as well as most other metal objects from furniture to trap components.  These tasks require fuel.","ÒÜæÎÚæÇÕåÄÖàæÒŞæÖåÌÕæÊÚçÉÖİËÕØå,ÕåËÕçËÕØË×æÊÚçÍÕàæËÕãåÒÖåËÕàæÄÚèÄØæÄÖÙĞÖæÌÕçÅØËÕáĞÖåÖæÁÕáå.ÎÚæÍÕÛÑáæÖæÍ×ÕŞæÑàçÇÕŞæ."
"Make mechanisms here which are used to make levers, pressure plates, and gears.  You can also use mechanisms to link levers and pressure plates to other machinery.","ÒÜæÎÚæÇÕå×ãæÇÜçÎæÒÖÙæÈâæÈà,ÕØÇÕæÀàåÊÚçÏåÇÖáç.ÆÕåÊÖàçÉÚåÕå×ãæËÕÍÕÛæÎÖâÎæËÕâÈâæÈàÊÚçÕØÇÕæÀàå×åÌÕçÅØËÕÍÕÛæÇÕàçËÕÛÌÕåÇÜç."
"Use dyes here to color thread and cloth.  Requires a barrel and bucket for construction.","ÒÜæÎÚæÇÕåĞå×ãæÑàåÇÕŞæÖİçÍÕàæÊÚçÀÖæĞâæÔÚæ.Í×ÕŞæÕÈÚæ×àçÅÖãåÊÚçĞÖİåÅÖãåÇÜçËÕàæÒŞæ."
"Make cloth into clothing and tools here, such as bags and ropes.","ÒÜæÎÚæÇÕåÀØåÀÖæÒÖÙæÏãçÕÃÖçÊÚçÈÖãË×æ,ÀÕåÑÖçÀŞÊÚçĞãçÔÖÙå"
"Here you can turn thread into cloth, whether it is thread from the farmer's workshop or spider silk gathered underground.","ÒÜæÎÚæÇÕå,ÆÕåÉÚåÕåÀØåÍÕàæÀÕàæÏãçÀÖæ,ÖçÇÖáæĞæÇÜçÒæÆÖãçÂÕáçÈÖãÃâÄÚèÍÕàæÊÖàçĞæÄÕæÄÕåĞßËÕçÄÚèÎÎÖÔ."
"Use leather tanned at the tanner's shop here to make clothing and tools, such as bags and waterskins.","Ğå×ãæÒÜæÎÚæÇÕåÄÚèÎæÈÚçÄÕàæÇÜçÑßçÎæÁÕçÈÚçÕåÎæÒÖÙæÕÃÖçÊÚçÈÖãË×æ,ÑÖçÄÜæÒåÊÚçÈÚçÎæĞÖİåÄÜæ."
"Show up and down arrows over ramps at the current elevation.","ÒÜæÄâÌÕàçÈŞÄÖæÏÖåÄÚèÍÕÛçÁÙĞâæÍÕàåĞæÍÕâæĞâæÊÚçÍÕâæÍÕØæËÕàæÅßç."
"Slaughter livestock here in order to obtain meat, hides, bones, and other animal products.","ÒÜæÎÚæÇÕåÅÖçÒÜåĞãÍ×æÕåÊÖÙæÄÚçÑßæ,ÁÕç,ÈÖåÅßçÊÚçÌÕçÅØÍ×æÏàåÁÕáå."
###############################################################################################################################################################################################################################################################,"ÒÜæÎÚæÇÕåÊÖãÀİæÎàÅÖåÎæÁÕáå,ÕåËÕçÌÕçÅØÕÍÕÛÕßå×ãæÄÚèÓÜçÇÕŞæ.ÑÖçÈÖÙåÆÕåÕßåÕÈÚæÎàÅÖåĞßËÕçÌ×,ÕÛåÉÚåÕåÒÜæÎÚæÇÕåĞßËÕçÎàÅÖå.ÕŞçÍÕØæÄÚèÕàçËÕâËÕâÖİçÑáæÖæÅÕçÈÖãÄÖãæÇÕæ.ÆÕåÃÖæÒÚçËÕâÕŞçÎæ×çÕàçËÕâÎĞâæ,ÄàæÀÖæÍ×ÕŞæÌÕçÅØÑàçÇÕŞæ."
"Fortifications block creature movement but allow projectiles through.  Soldiers near fortifications are reasonably safe from incoming projectiles.  Requires boulder, block, or wood.","Ãâç×æÈÖãĞæÆãçÒÖåÄâåÎÖæÌÕçÅØĞãÖæÅÖãÈÖÙæ,ÄàæÅßçÎæÖæÆãç×ÛæÈÖÙæÅØÂáç.ÒÜæÃâç×æÈÖãĞæÃÖæËÕáæÄÚèÎàæĞæÂáçÂÕàæÄÖİæÃİÇÜçÄÚèÁŞçÄàæÇÜçĞÖÙĞæÍÕâÄÖİæàÌ×àçÄÚè.ÅØÍ×ÕŞæĞçÉÖÜæ,ĞçÅßçÊÖÙæ×àçÂÖæ."
"Horizontal axles transfer power on the same elevation.  Horizontal axles can be east-west or north-south.","ĞÖİåÁÕãçÎßçÒÜæÅÖãçÕÊÜåÀØçÈŞÄÖæĞâæÏÖàçÄÕæÄÖãæÇÕæ.ĞÖİåÁÕãçÎßçÉÚåÕåĞæÄÖãÍÕÊÖÙæÆàçÀİåÎŞÍÕâæÄÚè."
"Levers are used with machines, doors, floodgates, bridges, cages, and other structures to change their state.","ÈâæÈà×ãæ×çËÕÌÕæ,Âáç,ĞÖİåÎØç,ÌÕŞçÇÕâç,ÇÖãçÒåÊÚçÌÕçÅØËÕÛçÈßæ,ÕÌÕåĞå×ãæÕåÈÜåÀÕàæÌÕçÎÖâæÅÜæ."
"Item Cloud","ÖæÁÕáå×áç"
"Mist","Öæ"
"Steam","ÎãÌÕæ"
"Miasma","ÎâæÌÕæ"
"Lava Mist","ÑÖãçÕàçÖæ"
"Magma Mist","ÕàçËÕâÖæ"
"Sea Foam","ÊÜåĞÖİåÁŞæÂÙæ"
"An Ocean Wave","ÊÜåÇâæ"
"Fire","ÊÖÙå"
"Dragonfire","ÇÖãçÊÖÙå"
"Smoke","Õà"
" vapor","ÎãÌÕæ"
"A smear of ","ÅÖçÂÙåÇÕŞå"
"A spattering of ","ÕÄÕÃİËÕàæ"
"A Campfire","ÕÈÚæÈßÊÖÙå"
"A Web","ÕÎâÖâå"
"Cage traps capture intruders in cages.  Must be loaded with a cage.","ÇÖãçÒåÍÕàæËÕãåÀØåÑÖæÌÕáÎÚåÀÖåÎÖÙÒÜæÇÖãçÒåÇÕå.ÀÕæÍ×ÎÖâÕßåÇÖãçÒå."
"Ornamental.  Demanded by some nobles.","ÎÖâĞæÁÕáå.ÕÍÕÛÈÖİæÒÖçÍ×ÕŞæÅØÂáç."
" - mine rock underground","-ÉÜÓÜåÄÕæÍÕØæÕàçĞç"
" - chop down trees","-ÉàåÃØçĞÖæÂÖæ"
" - make at a workshop first","-ÍÕàÒÜæÈÖãÃâÎæÒÖÙæ"
"a swarm of ","ÕÌ×áçÑáç"
"many ","Í×åÄÖÙ"
"a colony of ","ÕÌ×áçÎçÂÕáçÄÕæ"
"unintelligible","ÀÖæÎÔÖÙå×áç"
"left ","ÒÖÙå"
"right ","Õßæ"
" imprint","ÕáæËÕæ"
"/SW","/ÍÕÆàç"
"/SE","/ÄÖãÆàç"
"/NW","/ÍÕÀİå"
"/NE","/ÄÖãÀİå"
"Elevate whom?","ËÕáæĞãĞÖİç?"
"Select a report to view the full text.  Right click to close.","Í×àåÒÚçÕÈÚæÀŞæÈŞæÏØçÉàæÌ×àçÖáç.ÄÕàåËÕÕßæËÕàæÈÖàÀÕæ."
"You can recenter on certain announcements.  Right click to close.","ÆÕåÉÚåÕåÎÖãæÍÕáÄÕãæÖİæÂßåÍÕÛÅÖãÈŞæ.ÄÕàåËÕÕßæËÕàæÈÖàÀÕæ."
"/yours or companion's","/ÆÕåÊÖÙæÅÖãçÀàæÄÚè"
"A pile of ","ÕÄÖİ"
"A small pile of ","ÕÍÕŞåÄÖİ"
"A dusting of ","ÕÅÖàçÏáçÅÖå"
"A pool of ","ÕÏçĞÖİå"
"Salt water [","ÕàçĞÖİå["
"Stagnant water [","ÔåĞÖİå["
"Stagnant salt water [","ÅÕãçÎæÄÚèÕàçĞÖİå["
"A Fire","ÊÖÙå"
"Lava [","ÑÖãçÕàç["
"Magma [","ÕàçËÕâ["
"Water [","ĞÖİå["
" print","ÄØåÕáæ"
"broken vegetation","ÁÙæÔÖİæÄÚèÎçÀİæ"
"Track/Spoor: ","ÈáÒÖã/ÒÖçËÕæ:"
"Track/Spoor","ÈáÒÖã/ÔÁÖåäå"
"Status of ","ÄÚèÍÕàæÎÖâæ"
"Parley with ","ÁØæÇÕæ×å"
"There are no petitions that need your attention.","ÂÖæÌÕàçÂİçÕßåÃâåÉÚæÅÕçÏÖË×ÎÖæĞáÌÕãå."
"You do not have an official capable of handling these matters.","ÆÕáçÂİçÕßåÆãçÈßæÏÖåÇÕåÎÚæÍÕÛĞæÖæÄÚèÈÖà×àç."
"Citizenship of ","ÈÖãÂÕáçĞáÃáæ"
"in order to avert","ÖİçÇÕŞåÀÕæÂÕàå"
"wishes to parley","ÍÕÖâæÅÖãÈÖÙæÅàçÊÖØæ"
"Some corrupt data","ÕÍÕÛÔÖáåÊÖÜæÄÚèĞÖæË×æ"
"Approve","ËÕÛĞßæ"
"Do you approve this request?","ÆÕåÁÕÎÖáåÇÕŞåÎÚæÈÚæÕŞæÌÕßçÂØç?"
"loss of life.","ĞÌ×æĞãÂÕãæ."
"Make requests for next year's caravan.  They'll charge more for these items.","ÍÕâæĞâÄÖİæ×æÄÕãæÂÕãçÆÕàçÄÚèÊÖÙæÖæ.ÎÚæÍÕÛÖæÁÕáåÅØÂáçÊÖİæÕŞæËÕØæÈãÈŞ."
"Abort","ÅÖİæÏÖ"
"No positions available","ÂİçÕßåÎçÖİæÉÖãÌ×Û"
"No recommendations available","ÂİçÕßåÉÚå×ãæÄÚèËÕàæÕæ"
"We will gladly do as you ask and strengthen our bonds of friendship.","ÖÙåÂáçÊáåÇÚæÕæàæÆÕåÂáçÄÚèÕŞæÌÕßçÌ×æÒÖÙæÀÕãæËÕØÌÕâçÖÙåÂáçÄÚèÕßåÕæ."
"Flattering, but we'd rather maintain our distance from the homeland.","ÑÖãçÍÕãæÎÎæ,ÄàæÖÙåÂáçÆÕãç×àæ×åÒÖåÈÖÙçÀŞåÏçË×æÇÕç."
"I can scarcely believe this good news!  I have some recommendations.","ÖÙåËÕàåÎçÀÖæÈàåÍÕâÍÕáæÎÚæÈÚæÊŞåÍÕŞÍÕ!ÖÙåÕßåÕÍÕÛËÕàæÕæ."
"We will drown out the call with the screams of your dying.  Begone.","ÖÙåÂáçÊÖİæ×ãæÆÕåÇÕáçÔåÌÕàçÄÚèËÕàËÕŞæĞãÈÜæÈÖÙæÆÕåÄÚèËÕŞæĞã.ÈÖáåÉÜ."
"I hear the call.  Let us stop this war.","ÖÙåÅÕãÄŞæÇÕŞåÎŞæÊÖàæ.ÑâæÖÙåÂáçÅÕãçÎåÎÚæÏâçÎàæÎã."
"We can grant this request.  Let's discuss the specifics, though...","ÖÙåÂáçÉÚåÕåÁÕÎÖáåÎÚæÈÚæÌÕãåÌÕßç.ÀÖæÈÖÙæ,ÑâæÖÙåÂáçÅŞåÇÖáæÕÍÕØæÍÕæËÕÛç......"
" guild.","ÍÕãçÊÖİæ."
"  I've boldly searched ","ÖÙåÍÕàåÑàçÔßÏØçÈÖÙæÇÕŞå"
"  I've searched nearly the whole world over.","ÖÙåËÕÊÖÀØåÌ×àçĞæËÕÛæÄÖÔßÍ×áçÈÖÙæÇÕŞå"
", and I aim to return it home.",",ÖÙåÄÚèÂÖæÀÕŞĞæÀØåÅØÈÖİÊÖàç."
"[B]Play your role in this noble quest and become legendary!","[B]ÒÜæÎÚæÈÚæÏÖãçÈŞÄÚèÑáæÖæÎÖãÃØÊÖİÆÕåÄÚèÒÖÙæ×ãæ,ÏãçÖİçÏÖàçÌÕçÑáçÖæ!"
"  I've already searched in ","ÖÙåÕåËÕãÔßÏØçÇÕŞå"
"eradicating monsters.","ÈáÏÖçÈÖÜæÖæ."
"for the purpose of","ÖİçÇÕŞå...ÄÚèÂÖæÄÚè"
"wishes to reside here","ÍÕÖâæÎÖæÒÜæÎÚæÇÕå"
"wishes to reside in","ÍÕÖâæÎÖæÒÜæ"
"sanctuary.","ÀÕæÆàçÔÖÙå."
"study.","ÕàçËÕß."
"soldiering.","ÄâÀÕã."
"entertaining citizens and visitors.","×çÇÚæÈÖãÂÕáçÊÚçÕßçÉÚæ."
"as a citizen of","ÒÖÙæÖİçÕÂÕãçË×ÂÕáç×ç"
"desires citizenship.","ÉÚåÖâæÈÖãÂÕáçĞáÃáæ."
"wishes to join","ÍÕÖâæÆãçËÕØÑÖæ"
"We elves are partial in particular to the trees in the forests surrounding your lands.","ÖÙåÂáçËÕãÇÕãçÅÚæÀÕÛçÁÕàÜæÆÕåÂáçÅÖåÄÕæÎßÖİçÔáÇÕáçÇÕåÄÚèĞÖæÂÖæ."
" trees, butcher.","ÉÚĞÖæ,ÅÖçÃÖ."
"ship.","ÏÖàç."
"when ","Äâ"
"when empty","ÉÖãÄÚèĞçÊßæ"
"always (at least 0%)","ËÕãÏâç(ÎæĞŞå0%)"
"when full","ÂàåÂàåÄÚè"
"1 day","1ÅÕà"
"any items","ÑáæÊÚçÖæÁÕáå"
"desired items","ÍÕâåÕŞæÄÚèÖæÁÕáå"
"always (at most 100%)","ËÕãÏâç(ÎæÄÖÙ100%)"
"Inaccessible from first stop","ÖçÃØåÅÖãÈÖÙæÄÕæÕÎàæ"
"Choose a vehicle for ","Í×àåÒÚçÕÈÚæÒÜæË×æÖİç"
"You have no vehicles.","ÆÕåÂİçÕßåÏÚÇÕâæ."
"I will try to return next year as I am able.","ÂÕãçÆÕàçÖÙåÂáçÊÖİæËÕáæÉÚåÆãçÒÜæÇÜçÀÜæÃâåÄÚè."
" until we next meet.  ","ÎçÄŞæÖÙåÂáçÍÕØæÓæËÕàæÂÕàæ."
"Set conditions for ","ĞÚæÄÕãæÅÕŞçËÕàæÖİç"
"east","ÄÖã"
"south","Æàç"
"north","Àİå"
"in ","ÒÜæ"
"in 1 day","1ÅÕàÆİæ"
"immediately","ÇÕæËÕç"
"west","ÍÕ"
"Needs: ","Í×ÕŞæ:"
"cabinet","ÆİæÈÚç"
"weapon rack","ÖåÌÕæËÕØæ"
"armor stand","ÉÖİËÕØåËÕØæ"
" (traveling)","(Ç×åÕßç)"
"chest","ÍÕâÒå"
" Prohibited","ËÕáÎå"
"Lowest Precision","ÒÖİæÄÕËÕãÄÖæ"
"Low Precision","ÄÕËÕãÄÖæ"
"Medium Precision","ÎÖãÄãåËÕãÄÖæ"
"Throne Room/Office","ÖâçÒÖÙæĞæ/ÀàæÈÖãĞæ"
"Dining Room","ÃàæÅÕã"
"Export of ","ÏÖÉßå"
"Make ","Ğå"
"Leave Vacant","Í×ÖİæÕåÄÜæ"
"Custom Detail","ÃãÔÖçÍÕæËÕÛç"
"Add new work detail","ÅÕàËÕØÍÕáÄÚèÈÖãÒÖÙæÍÕæËÕÛç"
"Custom Detail ","ÒæÄÕãæÕæÍÕæËÕÛç"
"Hauling","×áæĞÖ"
"Chores","ÒØçÖæ"
"Automatically weave all thread","ÒæÄÖãæÀÕàÎÔÖÙåÕßåÄÚèÍÕàæ"
"Automated workshops","ÒæÄÖãæÊÖØæÄÚèÈÖãÃâ"
"All counts accurate","Ì×àçÀÖæËÕãÌ×ÛæÅÖãåËÕæ"
"High Precision","ÈŞËÕãÎÖáåÄÖæ"
"Highest Precision","ÒÖİæÈŞËÕãÄÖæ"
"Stocks amount display: ","ÉÖæÓÖáçÇÕâçÍÕàåĞæ:"
"highest precision","ÒÖİæÈŞËÕãÄÖæ"
"Your bookkeeper needs to work in an office to improve precision","ÆÕáçÄÚèÀÖæËÕæ×àçÍ×ÕŞæÒÜæÀàæÈÖãĞæÈÖãÒÖÙæÕåÅÕçÈŞËÕãÌ×ÛæÄÖæ"
"The stockpile records are ","ÉÖæÓÖáçËÕæÇÖæĞæ"
"% updated toward the next precision level.","%ÈãÍÕáÄŞæÍÕØæÕÈÚæËÕãÄÖæËÕçÀÕÛç."
"Your bookkeeper has done enough work to attain ","ÆÕåÄÚèÀÖæËÕæ×àçÕåËÕãÖàçÏãçÇÕŞåÒÖçÈßæÄÚèÈÖãÒÖÙæ"
"low precision","ËÕãÄÖæÄÕ"
"medium precision","ÎÖãÄãåËÕãÄÖæ"
"high precision","ÈŞËÕãÎÖáåÄÖæ"
"Claim your dead","ÊÖİçĞßÖÙåÃâĞÅÕå"
"Claim your death items","ÊÖİçĞßÖÙåÃâĞÅÕåĞâæÄÚèÕçÖæ"
"Claim used ammunition","ÊÖİçĞßĞå×ãæÈÖÙæÄÚèÄàæÕŞæ"
"Claim other death items","ÊÖİçĞßÔÖÙåÕßåĞÅÕåĞâæÄÚèÕçÖæ"
"Claim other dead","ÊÖİçĞßÔÖÙåÕßåĞÅÕå"
"Choose a symbol for the burrow.","ÖİçÄÖãæÔÖÙåÍ×àåÒÚçÕÈÚæÀÕŞÎæ"
"Number","ĞÖæÇÕâç"
"Permissions","Ì×àçÍÕàæ"
"You have no appropriate ingredients.","ÆÕåÂİçÕßåĞæÄâÄÚèÏãçÃá."
"Symbol","ÃÖçÊŞæ"
"Background","ÀİæËÕãå"
"Stone type","ĞçÅßçÇİæÍÕãç"
"Do not mix similar food in barrels","ËÕàæÀØå"
"Drinks","ËÕßåĞÖİå"
"Magma-safe","ÕàçËÕâàÌ×àç"
"No target","ÂİçÕßåÂÖæÀÕŞ"
"Create new squad","ÏÖâæËÕàæÍÕáÄÚèÍÕŞåÄÖİæ"
"change equipment, and","ÈÜåÀÕàæÎÖâÀİæ,ÀÕãæ"
"Equip","ÎÖâÀİæ"
"Schedule","ËÕæÊÖØç"
"specific armor","Ë×æÅÕåÄÚèÉÖİËÕØå"
